sangre_ppm_di,sangre_ppm_dd,sangre_ppm_ti,sangre_ppm_td,conductividad_ms_cm_di,conductividad_ms_cm_dd,conductividad_ms_cm_ti,conductividad_ms_cm_td,media_de_los_flujos_kg_min_di,media_de_los_flujos_kg_min_dd,media_de_los_flujos_kg_min_ti,media_de_los_flujos_kg_min_td,flujos_maximos_kg_min_di,flujos_maximos_kg_min_dd,flujos_maximos_kg_min_ti,flujos_maximos_kg_min_td,producciones_kg_di,producciones_kg_dd,producciones_kg_ti,producciones_kg_td,health_anomaly_score,health_anomaly_label
0.0,0.0,0.0,0.0,5.07,5.01,5.42,5.28,1.38,1.56,1.68,1.62,1.74,2.16,2.1,2.16,3.39,2.83,1.47,3.78,0.5731389345682625,1
0.0,0.0,0.0,0.0,5.03,4.94,5.48,5.25,1.38,1.86,2.1,1.86,2.04,2.52,2.64,2.34,6.03,4.5,3.3,7.59,0.8631293815159605,1
0.0,0.0,0.0,0.0,4.86,4.87,5.16,5.07,1.44,1.92,1.68,1.92,1.92,2.28,2.1,2.52,5.01,3.88,2.74,5.64,0.6998916464969686,1
0.0,0.0,0.0,0.0,4.82,4.83,5.37,5.01,1.56,1.68,1.86,1.8,2.1,2.28,2.46,2.34,5.74,5.2,3.67,8.24,0.7889005951944559,1
0.0,0.0,0.0,0.0,4.45,4.61,4.58,4.52,1.26,1.38,1.32,1.56,1.86,1.74,1.8,2.16,1.83,1.67,0.96,2.32,0.7094141486451286,1
0.0,0.0,0.0,0.0,4.7,4.75,4.86,4.73,1.38,1.56,1.56,1.68,1.74,2.04,2.1,2.1,3.97,3.37,2.05,4.74,0.5591122245993567,1
0.0,0.0,0.0,0.0,4.61,4.72,4.81,4.89,1.44,1.8,2.16,1.98,1.86,2.28,2.58,2.64,5.9,5.69,3.34,8.4,0.9475317693478091,1
0.0,0.0,0.0,0.0,4.05,4.13,3.96,3.87,1.08,1.2,1.2,1.44,1.5,1.8,1.74,1.92,1.74,1.37,0.85,1.78,0.8367902372888667,1
0.0,0.0,0.0,0.0,4.38,4.47,4.15,4.48,1.2,1.38,1.5,1.56,1.92,1.92,1.8,1.98,2.94,2.27,1.45,3.35,0.5822491422047521,1
0.0,0.0,0.0,0.0,4.66,4.71,4.45,4.75,1.32,1.38,1.44,1.62,1.8,1.86,2.04,2.16,3.66,2.97,1.94,4.28,0.6715443733076161,1
0.0,0.0,0.0,0.0,4.7,4.68,4.42,4.76,1.32,1.74,1.62,1.68,1.8,2.16,2.1,2.1,5.23,4.35,2.96,6.42,0.4340706555424956,1
0.0,0.0,0.0,0.0,4.37,4.53,4.38,4.61,1.38,1.5,1.62,1.56,2.22,1.92,2.1,1.98,2.47,2.44,1.75,3.39,0.7026593205579813,1
